Source,Type,ID,Title,Date,Abstract,Link
OpenAlex,Paper,https://openalex.org/W4411134106,Electrification of ammonia cracking for on-demand hydrogen production: CFD modeling,2025,"This paper investigates the design, computational modeling, and thermal optimization of a compact macro-scale ammonia cracking reactor to enable efficient, scalable, and high-conversion hydrogen production through enhanced heat management and non-isothermal kinetic analysis. The non-isothermal behavior of ammonia decomposition in a parallel plates macro-scale reactor is investigated by means of computational fluid dyinamics simulations, focusing on the optimization of the heat distribution to en",https://openalex.org/W4411134106
OpenAlex,Paper,https://openalex.org/W4409737135,Multiscale Simulation Guided Electric Field-Enhanced Ammonia Catalytic Cracking,2025,"Ammonia catalytic cracking offers an efficient solution for hydrogen production, storage, and distribution, making it ideal for onboard hydrogen generation in maritime propulsion systems when integrated with fuel cells. However, conventional heating methods, even with highly active ruthenium (Ru) catalysts, require high temperatures to achieve satisfactory performance, posing a challenge for industrial implementation. A promising strategy to address this limitation is the application of strong e",https://openalex.org/W4409737135
OpenAlex,Paper,https://openalex.org/W3034435575,"Ammonia as Effective Hydrogen Storage: A Review on Production, Storage and Utilization",2020,"Ammonia is considered to be a potential medium for hydrogen storage, facilitating CO2-free energy systems in the future. Its high volumetric hydrogen density, low storage pressure and stability for long-term storage are among the beneficial characteristics of ammonia for hydrogen storage. Furthermore, ammonia is also considered safe due to its high auto ignition temperature, low condensation pressure and lower gas density than air. Ammonia can be produced from many different types of primary ene",https://openalex.org/W3034435575
OpenAlex,Paper,https://openalex.org/W4317624039,A Brief Review of Hydrogen Production Methods and Their Challenges,2023,"Hydrogen is emerging as a new energy vector outside of its traditional role and gaining more recognition internationally as a viable fuel route. This review paper offers a crisp analysis of the most recent developments in hydrogen production techniques using conventional and renewable energy sources, in addition to key challenges in the production of Hydrogen. Among the most potential renewable energy sources for hydrogen production are solar and wind. The production of H2 from renewable sources",https://openalex.org/W4317624039
OpenAlex,Paper,https://openalex.org/W3024047201,(Invited) Ammonia As an Energy Vector,2020,"The Advanced Research Projects Agency (ARPA-E) funds high risk, high reward transformational research to reduce energy related emissions, reduce imports of energy from foreign sources, improve energy efficiency across all economic sectors, and ensure US technological lead in advanced energy technologies, including electrochemical technologies for energy transformation and storage for distributed, grid scale and automotive applications. Ammonia is produced at a scale of about 180 million tons per",https://openalex.org/W3024047201
OpenAlex,Paper,https://openalex.org/W4284673149,Hydrogen Fuel for Future Mobility: Challenges and Future Aspects,2022,"Nowadays, the combustion of fossil fuels for transportation has a major negative impact on the environment. All nations are concerned with environmental safety and the regulation of pollution, motivating researchers across the world to find an alternate transportation fuel. The transition of the transportation sector towards sustainability for environmental safety can be achieved by the manifestation and commercialization of clean hydrogen fuel. Hydrogen fuel for sustainable mobility has its own",https://openalex.org/W4284673149
OpenAlex,Paper,https://openalex.org/W3009208041,A Preliminary Study on an Alternative Ship Propulsion System Fueled by Ammonia: Environmental and Economic Assessments,2020,"The shipping industry is becoming increasingly aware of its environmental responsibilities in the long-term. In 2018, the International Maritime Organization (IMO) pledged to reduce greenhouse gas (GHG) emissions by at least 50% by the year 2050 as compared with a baseline value from 2008. Ammonia has been regarded as one of the potential carbon-free fuels for ships based on these environmental issues. In this paper, we propose four propulsion systems for a 2500 Twenty-foot Equivalent Unit (TEU)",https://openalex.org/W3009208041
OpenAlex,Paper,https://openalex.org/W3161725877,Green ammonia as a spatial energy vector: a review,2021,"This review examines the cost of green ammonia production and intercontinental transport to assess the complete supply chain for energy in a global, decarbonised ammonia economy. It further identifies the major constraints on supply and demand.",https://openalex.org/W3161725877
OpenAlex,Paper,https://openalex.org/W4308581676,Green Hydrogen Production Technologies from Ammonia Cracking,2022,"The rising technology of green hydrogen supply systems is expected to be on the horizon. Hydrogen is a clean and renewable energy source with the highest energy content by weight among the fuels and contains about six times more energy than ammonia. Meanwhile, ammonia is the most popular substance as a green hydrogen carrier because it does not carry carbon, and the total hydrogen content of ammonia is higher than other fuels and is thus suitable to convert to hydrogen. There are several pathway",https://openalex.org/W4308581676
OpenAlex,Paper,https://openalex.org/W4286697497,Ammonia as Green Fuel in Internal Combustion Engines: State-of-the-Art and Future Perspectives,2022,"Ammonia (NH 3 ) is among the largest-volume chemicals produced and distributed in the world and is mainly known for its use as a fertilizer in the agricultural sector. In recent years, it has sparked interest in the possibility of working as a high-quality energy carrier and as a carbon-free fuel in internal combustion engines (ICEs). This review aimed to provide an overview of the research on the use of green ammonia as an alternative fuel for ICEs with a look to the future on possible applicat",https://openalex.org/W4286697497
