Source,Type,ID,Title,Date,Abstract,Link
OpenAlex,Paper,https://openalex.org/W4308581676,Green Hydrogen Production Technologies from Ammonia Cracking,2022,"The rising technology of green hydrogen supply systems is expected to be on the horizon. Hydrogen is a clean and renewable energy source with the highest energy content by weight among the fuels and contains about six times more energy than ammonia. Meanwhile, ammonia is the most popular substance as a green hydrogen carrier because it does not carry carbon, and the total hydrogen content of ammonia is higher than other fuels and is thus suitable to convert to hydrogen. There are several pathway",https://openalex.org/W4308581676
OpenAlex,Paper,https://openalex.org/W4399421781,Recent progress on ammonia cracking technologies for scalable hydrogen production,2024,"The global energy transition necessitates the development of technologies enabling cost-effective and scalable conversion of renewable energies into storable and transportable forms. Green ammonia, with its high hydrogen storage capacity, emerges as a promising carbon-free hydrogen carrier. This article reviews recent progress in industrially relevant catalysts and technologies for ammonia cracking, which is a pivotal step in utilizing ammonia as a hydrogen storage material. Catalysts based on R",https://openalex.org/W4399421781
OpenAlex,Paper,https://openalex.org/W4393931530,Highly-efficient hydrogen production through the electrification of OB-SiC nickel structured catalyst: Methane steam reforming and ammonia cracking as case studies,2024,"The aim of this work is the preparation and the electrification of Ni_CeO2_Al2O3/OBSiC (Oxygen Bonded SIlicon Carbide) based foams used in two different endothermic reactions for H2 production: methane steam reforming and ammonia cracking. In particular, the heating of the catalytic foams occurs by the Joule effect, and to guarantee a uniform temperature profile in both the axial and radial direction, two different heating resistances were used. In addition, the high tortuosity together with the",https://openalex.org/W4393931530
OpenAlex,Paper,https://openalex.org/W4393104749,Mixed metal oxides in catalytic ammonia cracking process for green hydrogen production: A review,2024,"Hydrogen, a versatile energy carrier, is a promising alternative to replace the environmentally harmful and unsustainable use of fossil fuels. This much-touted fuel of the future may however have pitfalls, such as issues associated with hydrogen production, storage, and distribution. Hydrogen storage and distribution are concerned with various technical, environmental and safety issues. Indirect hydrogen storage methods such as – in solid-state materials, ammonia, and methanol/ethanol – are rece",https://openalex.org/W4393104749
OpenAlex,Paper,https://openalex.org/W4388279861,Ammonia cracking for hydrogen production using a microwave argon plasma jet,2023,"Abstract Ammonia (NH 3 ) is a promising hydrogen carrier that effectively connects producers of blue hydrogen with consumers, giving rapid conversion of ammonia to hydrogen a critical role in utilizing hydrogen at the endpoints of application in an ammonia-hydrogen economy. Because conventional thermal cracking of NH 3 is an energy intensive process, requiring a relatively longer cold start duration, plasma technology is being considered as an assisting tool—or an alternative. Here we detail how",https://openalex.org/W4388279861
OpenAlex,Paper,https://openalex.org/W4411134106,Electrification of ammonia cracking for on-demand hydrogen production: CFD modeling,2025,"This paper investigates the design, computational modeling, and thermal optimization of a compact macro-scale ammonia cracking reactor to enable efficient, scalable, and high-conversion hydrogen production through enhanced heat management and non-isothermal kinetic analysis. The non-isothermal behavior of ammonia decomposition in a parallel plates macro-scale reactor is investigated by means of computational fluid dyinamics simulations, focusing on the optimization of the heat distribution to en",https://openalex.org/W4411134106
OpenAlex,Paper,https://openalex.org/W4383536202,Numerical Studies on Hydrogen Production from Ammonia Thermal Cracking with Catalysts,2023,"To explore and optimize the process of hydrogen production from plasma-assisted ammonia-cracking, a tubular ammonia-cracking on-site hydrogen production device with plasma-assisted ammonia combustion flue gas as the heat source was developed. Using the Temkin–Pyzhev kinetic model and the local thermal equilibrium (LTE) hypothesis, the effects of operating conditions, such as combustion flue gas temperature and ammonia flow rates, on ammonia-cracking efficiency were investigated. The numerical re",https://openalex.org/W4383536202
OpenAlex,Paper,https://openalex.org/W4387867762,Investigation of ammonia cracking combined with lean-burn operation for zero-carbon combustion and NO/N2O/NO2 improvements,2023,"Ammonia has received significant attention as a carbon-free fuel and a promising carrier of hydrogen. Ammonia cracking presents an effective method for on-line hydrogen production, eliminating the need for hydrogen transportation and storage. This paper aims to study the comprehensive impacts of ammonia cracking ratio (CR) and equivalence ratio (ER) on combustion performance and NO/N2O/NO2 behaviors under lean-burn operation mode. The ammonia/hydrogen mechanism was updated and simplified to enha",https://openalex.org/W4387867762
OpenAlex,Paper,https://openalex.org/W3093676377,Ammonia as hydrogen carrier for realizing distributed on-site refueling stations implementing PEMFC technology,2020,"Ammonia is a particularly promising hydrogen carrier due to its relatively low cost, high energy density, its liquid storage and to its production from renewable sources. Thus, in recent years, great attention is devoted to this fuel for realizing next generation refueling stations according to a carbon-free energy economy. In this paper a distributed onsite refueling station (200 kg/day of hydrogen filling 700-bar HFCEVs (Hybrid Fuel Cell Electric Vehicles) with about 5 kg of hydrogen in 5 min)",https://openalex.org/W3093676377
OpenAlex,Paper,https://openalex.org/W4402189503,Novel carbon-free innovation in centralised ammonia cracking for a sustainable hydrogen economy: the hybrid air-volt ammonia cracker (HAVAC) process,2024,"The hybrid air-volt ammonia cracker (HAVAC) represents a novel approach to centralised ammonia cracking for hydrogen production, enhancing both efficiency and scalability.",https://openalex.org/W4402189503
OpenAlex,Paper,https://openalex.org/W4406367741,Ammonia Decomposition Catalyzed by Co Nanoparticles Encapsulated in Rare Earth Oxide,2025,"We fabricated Co-based catalysts by the low-temperature thermal decomposition of R-Co intermetallics (R = Y, La, or Ce) to reduce the temperature of ammonia cracking for hydrogen production. The catalysts synthesized are nanocomposites of Co/RO<sub><i>x</i></sub> with a metal-rich composition. In the Co<sub>13</sub>/LaO<sub>1.5</sub> catalyst derived from LaCo<sub>13</sub>, Co nanoparticles of 10-30 nm size are enclosed by the LaO<sub>1.5</sub> matrix. The nanocomposite exhibited superior cataly",https://openalex.org/W4406367741
OpenAlex,Paper,https://openalex.org/W4313533239,PROCESS INTENSIFICATION FOR HYDROGEN PRODUCTION FROM AMMONIA,2023,"Ammonia is presented as one of the main carriers for the transport and storage of hydrogen under mild conditions. In this context, the present work introduces the integration and intensification of an ultrapure hydrogen production process from ammonia as a feedstock. A production scale is set to satisfy the requirements of a typical hydrogen refueling station (200 kgH2/day). A multifunctional shell-and-tube reactor is designed to carry out the ammonia cracking reaction. The system operates at a ",https://openalex.org/W4313533239
OpenAlex,Paper,https://openalex.org/W4409737135,Multiscale Simulation Guided Electric Field-Enhanced Ammonia Catalytic Cracking,2025,"Ammonia catalytic cracking offers an efficient solution for hydrogen production, storage, and distribution, making it ideal for onboard hydrogen generation in maritime propulsion systems when integrated with fuel cells. However, conventional heating methods, even with highly active ruthenium (Ru) catalysts, require high temperatures to achieve satisfactory performance, posing a challenge for industrial implementation. A promising strategy to address this limitation is the application of strong e",https://openalex.org/W4409737135
OpenAlex,Paper,https://openalex.org/W4411972945,Catalytic Ammonia Combustion: Legacy Catalytic Burner Designs and Catalyst Requirements for In Situ Hydrogen Production,2025,"Ammonia is increasingly recognised as a promising carbon-free fuel and hydrogen carrier due to its high hydrogen content, ease of liquefaction, and existing global infrastructure. However, its direct utilisation in combustion systems poses significant challenges, including low flame speed, high ignition temperature, and the formation of nitrogen oxides (NOX). This review explores catalytic ammonia cracking as a viable method to enhance combustion through in situ hydrogen production. It evaluates",https://openalex.org/W4411972945
OpenAlex,Paper,https://openalex.org/W4415732243,Process modelling and thermodynamic analysis of hydrogen production through chemical looping ammonia cracking,2025,"In this study, a novel chemical looping ammonia cracking (CLCr) process was designed for efficient hydrogen production.",https://openalex.org/W4415732243
OpenAlex,Paper,https://openalex.org/W4403287831,Technoeconomic Evaluation of Ammonia Cracking for Hydrogen Production: A Question of Colors and Scale,2024,"Abstract The hydrogen economy has experienced rapid interest in recent years, emerging as a promising pathway to decarbonization. Despite its potential, hydrogen affordability is still a massive challenge particularly due to its requirement for renewable energy. For long distance hydrogen transport, ammonia is explored as a viable medium due to its matured and scaled existing infrastructure. This study delves into the role of ammonia as the hydrogen carrier, with a focus on evaluating the techno",https://openalex.org/W4403287831
OpenAlex,Paper,https://openalex.org/W7108725855,Optimisation of low-carbon hydrogen production via sorption enhanced autothermal membrane technology and ammonia cracking,2025,"This PhD thesis presents the development and optimization of innovative hydrogen production technologies for sustainable, low-carbon fuel generation. The research focuses on three key innovations: The Industrial Sorption Enhanced Autothermal Membrane (ISEAM) process for blue hydrogen production, the Hybrid Air-Volt Ammonia Cracker (HAVAC) for centralized ammonia cracking, and a novel on-board ammonia cracker for light-duty fuel cell vehicles. The research methodology is underpinned by rigorous p",https://openalex.org/W7108725855
OpenAlex,Paper,https://openalex.org/W4415304690,Non Thermal‐Driven Photocatalytic Ammonia Decomposition at Near‐Room Temperature on a Plasmonic Nanocone Array,2025,"Abstract The efficient and sustainable production of hydrogen is crucial for the transition to a clean energy future. Ammonia (NH 3 ) is an attractive hydrogen carrier due to its high energy density and safe storage properties. However, conventional ammonia decomposition requires high temperatures, making the process energy‐intensive and costly. Here, a plasmon‐driven photocatalytic approach is presented for ammonia cracking at near‐room temperature, utilizing a plasmonic antenna‐reactor system ",https://openalex.org/W4415304690
OpenAlex,Paper,https://openalex.org/W3034435575,"Ammonia as Effective Hydrogen Storage: A Review on Production, Storage and Utilization",2020,"Ammonia is considered to be a potential medium for hydrogen storage, facilitating CO2-free energy systems in the future. Its high volumetric hydrogen density, low storage pressure and stability for long-term storage are among the beneficial characteristics of ammonia for hydrogen storage. Furthermore, ammonia is also considered safe due to its high auto ignition temperature, low condensation pressure and lower gas density than air. Ammonia can be produced from many different types of primary ene",https://openalex.org/W3034435575
OpenAlex,Paper,https://openalex.org/W4317624039,A Brief Review of Hydrogen Production Methods and Their Challenges,2023,"Hydrogen is emerging as a new energy vector outside of its traditional role and gaining more recognition internationally as a viable fuel route. This review paper offers a crisp analysis of the most recent developments in hydrogen production techniques using conventional and renewable energy sources, in addition to key challenges in the production of Hydrogen. Among the most potential renewable energy sources for hydrogen production are solar and wind. The production of H2 from renewable sources",https://openalex.org/W4317624039
EPO,Patent,WO.2026016252.A1,"INTEGRATED ENERGY CONTROL METHOD FOR ELECTRICITY-HYDROGEN-AMMONIA INTEGRATED MICROGRID SYSTEM, AND DEVICE",Unknown Date,"Disclosed in the present application are an integrated energy control method for an electricity-hydrogen-ammonia integrated microgrid system, and a device. The microgrid system comprises a direct-current busbar, an energy router, a photovoltaic power generation system, a hydrogen fuel cell system, an electrochemical energy storage system, and a new energy load consisting of a water electrolysis hydrogen production system, an ammonia cracking hydrogen production system and a hydrogen storage syst",https://worldwide.espacenet.com/publicationDetails/biblio?CC=WO&NR=2026016252&KC=A1
