Source,Type,ID,Title,Date,Abstract,Link
OpenAlex,Paper,https://openalex.org/W3153509844,Plasmonic Photocatalysis for CO<sub>2</sub> Conversion to Chemicals and Fuels,2021,Localized surface plasmon resonance (LSPR) allows nanoparticles (NPs) to harvest light and concentrate it near the nanoparticle surface. Light energy is utilized in the generation of excited charge carriers as well as heat. Plasmonic catalysts used these energetic charge carriers (and the heat) to drive chemical reactions on their surface and allowed the discovery of novel and selective reaction pathways that were not possible in thermal catalysis. This review discusses the fundamentals of plasm,https://openalex.org/W3153509844
OpenAlex,Paper,https://openalex.org/W4328104250,A novel metal-free porous covalent organic polymer for efficient room-temperature photocatalytic CO2 reduction via dry-reforming of methane,2023,"At room temperature, the conversion of greenhouse gases into valuable chemicals using metal-free catalysts for dry reforming of methane (DRM) is quite promising and challenging. Herein, we developed a novel covalent organic porous polymer (TPE-COP) with rapid charge separation of the electron–hole pairs for DRM driven by visible light at room temperature, which can efficiently generate syngas (CO and H2). Both electron donor (tris(4-aminophenyl)amine, TAPA) and acceptor (4,4′,4″,4‴-((1 E,1′E,1″E",https://openalex.org/W4328104250
OpenAlex,Paper,https://openalex.org/W3005654779,Construction of a Stable Two-Dimensional MAX Supported Protonated Graphitic Carbon Nitride (pg-C<sub>3</sub>N<sub>4</sub>)/Ti<sub>3</sub>AlC<sub>2</sub>/TiO<sub>2</sub> Z-Scheme Multiheterojunction System for Efficient Photocatalytic CO<sub>2</sub> Reduction through Dry Reforming of Methanol,2020,"In situ construction of two-dimensional (2D)/2D pg-C3N4/Ti3AlC2 MAX heterojunction was achieved using a protonated assisted sonication approach, while TiO2 nanoparticles were embedded over the layered heterostructure using a sol–gel method. This multiheterojunction system exhibits proficient charge transfer and superior activity toward photocatalytic reduction of CO2 through dry reforming of methanol (DRM). Using pg-C3N4/Ti3AlC2/TiO2 composite, H2 and CO production rates at 91.9 and 4.97 mmol (g",https://openalex.org/W3005654779
OpenAlex,Paper,https://openalex.org/W4385218927,Highly Stable Photocatalytic Dry and Bi-Reforming of Methane with the Role of a Hole Scavenger for Syngas Production over a Defective Co-Doped g-C3N4 Nanotexture,2023,"Photocatalytic reduction of CO2 with CH4 through the dry reforming of methane (DRM) is an attractive approach to recycling greenhouse gases into valuable chemicals and fuels; however, this process is quite challenging. Although there is growing interest in designing efficient photocatalysts, they are less stable, and have lower photoactivity when employed for DRM reactions. Herein, we developed a noble metal-free hierarchical graphitic carbon nitride (HC3N4) loaded with cobalt (Co) for highly ef",https://openalex.org/W4385218927
OpenAlex,Paper,https://openalex.org/W4399986304,CO2 reduction via oxidative dehydrogenation and dry reforming of ethane over Fe3Ni1 nanoparticles: The influence of the oxide support,2024,"The effect of the CO:CH feed ratio, the relative Lewis acidity of reducible and unreducible catalytically active metal oxide supports with and without FeNi alloy nanoparticles on the activity, selectivity and stability for the CO-mediated oxidative dehydrogenation of ethane (CO-ODHE) is investigated. To circumvent the influence of the typically dissimilar textural properties of the supports in bulk form, overlayer oxide supports of V, Cr, Ga, Ti or Sm coated on a common γ-AlO carrier were employ",https://openalex.org/W4399986304
OpenAlex,Paper,https://openalex.org/W3195953755,Photothermocatalytic Dry Reforming of Methane for Efficient CO<sub>2</sub> Reduction and Solar Energy Storage,2021,"Energy shortage and global warming owing to greenhouse gas (CO2) discharge in enormous quantities are two major global strategic issues. Photocatalytic solar fuel production (e.g., CO2 reduction, H2O splitting, etc.) by utilizing inexhaustible solar energy is very appealing and promising for addressing the two issues. Low light-to-fuel efficiencies (η) and fuel production rates (rfuel) are the impassable challenges in the view of the photocatalytic principle. Therefore, it is imperative and a gr",https://openalex.org/W3195953755
OpenAlex,Paper,https://openalex.org/W4383342655,Vanadium Carbide (V<sub>2</sub>CT<sub><i>x</i></sub>) MXene-Supported Exfoliated g-C<sub>3</sub>N<sub>4</sub> with the Role of Hole Scavenger as a Rapid Electron Transfer Channel for Enhancing Photocatalytic CO<sub>2</sub> Reduction to CO and CH<sub>4</sub>,2023,"Well-designed vanadium carbide (V2C) MXene combined with exfoliated graphitic carbon nitride (ECN) for photocatalytic conversion of CO2 via dry reforming of methanol has been investigated. Modifying the structure of g-C3N4 and coupling with V2C were beneficial for promoting charge separation with higher light absorption. Compared to V2AlC MAX, 3.67-fold higher photoactivity was achieved with layered 2D V2C MXene due to providing multichannel for charge separation. By variation of the etching tim",https://openalex.org/W4383342655
OpenAlex,Paper,https://openalex.org/W4285729895,Reshaping the Role of CO<sub>2</sub> in Propane Dehydrogenation: From Waste Gas to Platform Chemical,2022,"The valorization of CO2 appeals to the chemical industry due to the reduction in greenhouse gas emissions and the ability to offer more renewable products. Propylene production is the second largest process in the chemical industry, and it strongly depends on fossil fuel feedstocks. Coupling CO2 reduction with propane dehydrogenation boosts conversion and produces CO, a valuable platform chemical currently synthesized by fossil-methane reforming. In this work, (i) we demonstrate the environmenta",https://openalex.org/W4285729895
OpenAlex,Paper,https://openalex.org/W4328131198,Constructing Highly Stable CoAl-LDH-Coupled g-C<sub>3</sub>N<sub>4</sub> 2D/2D Heterojunctions for Solar Energy-Driven Conversion of Flared Gas to Syngas through Dry-/Bireforming of Methane,2023,Fabricating highly stable CoAl-layered double hydroxide (LDH)-anchored graphitic carbon nitride (g-C3N4) 2D/2D heterojunction composites for photocatalytic flared gas (methane) reduction with CO2 through methane dry reforming (MDR) and methane bireforming has been investigated. The self-assembly growth of CoAl-LDH flakes with layered g-C3N4 sheets enables proficient charge carrier separation to provide good photoactivity and stability. The optimized 15 wt % CoAl-LDH/g-C3N4 exhibited efficient sy,https://openalex.org/W4328131198
OpenAlex,Paper,https://openalex.org/W3211875114,Construction of an S-Scheme Heterojunction with Oxygen-Vacancy-Rich Trimetallic CoAlLa-LDH Anchored on Titania-Sandwiched Ti<sub>3</sub>C<sub>2</sub> Multilayers for Boosting Photocatalytic CO<sub>2</sub> Reduction under Visible Light,2021,"A well-designed two-dimensional 2D/2D architecture was constructed by coupling oxygen-vacancy-rich trimetallic CoAlLa layered double hydroxide (CoAlLa-LDH) with titania-sandwiched Ti3C2 MXene multilayers to achieve enhanced photocatalytic CO2 reduction. First, through a controlled etching process, in situ anatase/rutile-phase titania was grown over Ti3C2 multilayers with a controlled morphology. In the next stage, through controlled growth, a highly active oxygen-vacancy-rich ternary CoAlLa-LDH ",https://openalex.org/W3211875114
OpenAlex,Paper,https://openalex.org/W4385835232,"Titanium Carbide MXenes Cocatalyst with Graphitic Carbon Nitride for Photocatalytic H<sub>2</sub> Production, CO<sub>2</sub> Reduction, and Reforming Applications: A Review on Fundamentals and Recent Advances",2023,"Two-dimensional (2D) titanium carbide (Ti3C2) MXenes have gained increasing attention in photocatalytic applications due to their prominent electrical conductivity, optical properties, and abundant surface functional groups. The unique layered microstructure characteristics of Ti3C2 provide a large surface area, interlayer spacing, and hydrophilic surface functional groups, contributing to their high photocatalytic efficiency. Graphitic carbon nitride is very promising among the semiconductors d",https://openalex.org/W4385835232
OpenAlex,Paper,https://openalex.org/W4285491001,<i>Operando</i> Ce K-edge XANES Study of Low-loading Ni/CeO2 in Chemical Looping Dry Reforming of Methane,2022,"Abstract In this study, operando Ce K-edge XANES measurements of CeO2-supported Ni (Ni/CeO2) catalysts for chemical looping dry reforming of methane (CLDRM) were performed. Low-loading Ni/CeO2 was effective for selectively promoting the partial oxidation of CH4 and suppressing coke deposition. Operando XANES measurements confirmed the redox state of Ce oxide in CLDRM and revealed that the reoxidation of reduced Ce oxide during CO2 reduction was faster than the reduction of Ce oxide during CH4 ox",https://openalex.org/W4285491001
