Source,Type,ID,Title,Date,Abstract,Link
OpenAlex,Paper,https://openalex.org/W4391983380,Critical state-induced emergence of superior magnetic performances in an iron-based amorphous soft magnetic composite,2024,"Abstract Soft magnetic composites (SMCs) play a pivotal role in the development of high-frequency, miniaturization and complex forming of modern electronics. However, they usually suffer from a trade-off between high magnetization and good magnetic softness (high permeability and low core loss). In this work, utilizing the order modulation strategy, a critical state in a FeSiBCCr amorphous soft magnetic composite (ASMC), consisting of massive crystal-like orders (CLOs, ∼1 nm in size) with the fe",https://openalex.org/W4391983380
OpenAlex,Paper,https://openalex.org/W4280509953,Enhancing the Properties of FeSiBCr Amorphous Soft Magnetic Composites by Annealing Treatments,2022,"Fe-based amorphous powder cores (AMPCs) were prepared from FeSiBCr amorphous powders with phosphate–resin hybrid coating. The high-frequency magnetic properties of AMPCs annealed at different temperatures were systematically studied. After annealing at low temperatures, the effective permeability and core loss improved due to the internal stress of the powder cores being released. The sample annealed at 480 °C exhibits the lowest hysteresis loss of about 29.6 mW/cm3 at 800 kHz as well as a maxim",https://openalex.org/W4280509953
OpenAlex,Paper,https://openalex.org/W4384818425,Magnetic Properties of High DC Bias Performance Fe-Si-B-C-Cr Amorphous Soft Magnetic Composites,2023,"The present study investigates three types of Fe-Si-B-C-Cr non-crystalline magnetic powder and their effects on the magnetic properties of soft magnetic composites. Specifically, the study examines the impact of heat treatment temperature and particle size distribution. The results indicate a positive correlation between the size of the magnetic powder particles and saturation magnetization. Changes in heat treatment temperature similarly affected the magnetic properties of the three soft magnet",https://openalex.org/W4384818425
OpenAlex,Paper,https://openalex.org/W4283027856,Experimental Study on Electromagnetic Shielding Characteristics of a Fe-Based Amorphous Soft Magnetic Composite,2022,"An Fe-based amorphous soft magnetic composite with flexibility and elasticity was fabricated to shield harmful electromagnetic waves in industrial and military defense applications. Through the combination and structural arrangement of the amorphous soft magnetic sheet and the conductive sheet, the inlet (POE) form of electromagnetic waves was artificially diversified, and shielding performance was measured according to the criteria of MIL-STD-188-125-1 in the range from 1 kHz to 10 GHz, in cons",https://openalex.org/W4283027856
OpenAlex,Paper,https://openalex.org/W4280553822,High-frequency loss analysis and related magnetic properties of Fe-based amorphous soft magnetic composites with different granularity matches,2022,"The regulation mechanism of comprehensive soft magnetic properties for the Fe-based amorphous powder cores with different granularity match schemes used in high-frequency applications was investigated in detail. Herein, the FeSiBCCr amorphous particles with three different average particle diameters of 2.20 (P1), 12.52 (P2), and 27.65 μm (P3) were employed. Based on the establishment of the loss separation model, the total core loss (Pcv, at 25–900 kHz, 0.1 T) was divided into hysteresis loss Ph",https://openalex.org/W4280553822
OpenAlex,Paper,https://openalex.org/W4409246371,Microstructure and magnetic properties of high-density submicron FeBP amorphous soft magnetic composites fabricated via hot pressing,2025,"High-density amorphous soft magnetic composites (ASMCs), optimized for operation at MHz frequencies, were fabricated by hot pressing ultrafine, high-iron-content amorphous powders. These submicron FeBP amorphous powders were prepared by chemical reduction, and the effect of sodium hypophosphite (NaH2PO2) solution concentration on the morphology, composition, and properties of FeBP amorphous powders was systematically investigated. In the synthesis of amorphous powders, as the concentration of Na",https://openalex.org/W4409246371
OpenAlex,Paper,https://openalex.org/W4323844868,Properties Optimization of Soft Magnetic Composites Based on the Amorphous Powders with Double Layer Inorganic Coating by Phosphating and Sodium Silicate Treatment,2023,"Core-shell structured amorphous FeSiBCr@phosphate/silica powders were prepared by phosphating and sodium silicate treatment. The soft magnetic composites (SMCs) were fabricated based on these powders. The effects of phosphoric acid (H3PO4) concentration and annealing temperature on their properties were investigated. During the phosphating process, the powder coated with a low concentration of H3PO4-ethanol solution leads to uneven phosphate coating, while the peeling of phosphate coating occurs",https://openalex.org/W4323844868
OpenAlex,Paper,https://openalex.org/W3190854741,Enhanced Permeability of Fe-Based Amorphous Powder Cores Realized through Selective Incorporation of Carbonyl Iron Powders at Inter-Particle Voids,2021,"In this study, we demonstrate a hybrid multimodal soft magnetic composite (SMC) comprising gas-atomized spherical amorphous powder (AP) and carbonyl-iron powder (CIP), and present its enhanced electromagnetic properties. CIP is selectively incorporated into voids between AP, and deforms during compression, effectively reducing the pores, resulting in high packing density of the core, where CIP magnetically bridges AP and helps magnetic domain rotation much efficiently. The hybrid SMC with the ad",https://openalex.org/W3190854741
OpenAlex,Paper,https://openalex.org/W4403838610,Optimisation Of The Magnetic Properties Of Amorphous Powder Cores By Consolidating At High Pressures,2024,"Amorphous soft magnetic composites (SMCs) are characterised by low-volume fraction of magnetic material and therefore, poor magnetic permeability and saturation magnetisation. In this work, amorphous powder (Fe0.425 Co0.30 Si0.125 B0.15)96.5Nb3Cu0.5) is coated with 10 and 15 vol.% of resin and consolidated at high pressures (up to 2 GPa). Maximisation of particles packaging is obtained by mixing fractions of 0-10 µm and 20-45 µm in a volume ratio of 27:73 vol.%, respectively. Magnetic properties",https://openalex.org/W4403838610
OpenAlex,Paper,https://openalex.org/W4229366768,Effect of Polyimide-Phosphating Double Coating and Annealing on the Magnetic Properties of Fe-Si-Cr SMCs,2022,"Fe-Si-Cr soft magnetic powder cores (SMCs), with high electrical resistivity, magnetic permeability, saturation magnetic induction, and good corrosion resistance, are widely applied to inductors, filters, choke coils, etc. However, with the development of electronic technology with high frequency and high power density, the relative decline in the magnetic properties limits the high-frequency application of SMCs. In this paper, the phosphating process and polyimide (PI) insulation coating is app",https://openalex.org/W4229366768
