Source,Type,ID,Title,Date,Abstract,Link
OpenAlex,Paper,https://openalex.org/W3186086094,Confined Chemical Transitions for Direct Extraction of Conductive Cellulose Nanofibers with Graphitized Carbon Shell at Low Temperature and Pressure,2021,"Cellulose is the most abundant renewable natural polymer on earth, but it does not conduct electricity, which limits its application expansion. The existing methods of making cellulose conductive are combined with another conductive material or high-temperature/high-pressure carbonization of the cellulose itself, while in the traditional method of sulfuric acid hydrolysis to extract nanocellulose, it is usually believed that a too high temperature will destroy cellulose and lead to experimental ",https://openalex.org/W3186086094
OpenAlex,Paper,https://openalex.org/W3047113425,Polymer-Derived Heteroatom-Doped Porous Carbon Materials,2020,"Heteroatom-doped porous carbon materials (HPCMs) have found extensive applications in adsorption/separation, organic catalysis, sensing, and energy conversion/storage. The judicious choice of carbon precursors is crucial for the manufacture of HPCMs with specific usages and maximization of their functions. In this regard, polymers as precursors have demonstrated great promise because of their versatile molecular and nanoscale structures, modulatable chemical composition, and rich processing tech",https://openalex.org/W3047113425
OpenAlex,Paper,https://openalex.org/W4220658494,"A techno-economic review on carbon capture, utilisation and storage systems for achieving a net-zero CO2 emissions future",2022,"ABSTRACT: Carbon capture and storage (CCS)/carbon capture, utilisation and storage (CCUS) systems are widely recognised to have the potential in reducing CO2 emissions. However, current their global deployment is still not sufficient to reach the anticipated net-zero CO2 emissions target by 2050. This article aims to provide a general techno-economic review of CCUS systems. The technology readiness, technical performance, energy requirement and cost associated with CO2 capture, separation, trans",https://openalex.org/W4220658494
OpenAlex,Paper,https://openalex.org/W3123898957,Photocatalytic (Het)arylation of C(sp <sup>3</sup> )–H Bonds with Carbon Nitride,2021,"Graphitic carbon nitride materials have attracted significant interest in recent years and found applications in diverse light-to-energy conversions such as artificial photosynthesis, CO2 reduction, or degradation of organic pollutants. However, their utilization in synthetic photocatalysis, especially in the direct functionalization of C(sp3)–H bonds, remains underexplored. Herein, we report mesoporous graphitic carbon nitride (mpg-CN) as a heterogeneous organic semiconductor photocatalyst for ",https://openalex.org/W3123898957
OpenAlex,Paper,https://openalex.org/W4205613112,Three-dimensional direct lithography of stable perovskite nanocrystals in glass,2022,"Material composition engineering and device fabrication of perovskite nanocrystals (PNCs) in solution can introduce organic contamination and entail several synthetic, processing, and stabilization steps. We report three-dimensional (3D) direct lithography of PNCs with tunable composition and bandgap in glass. The halide ion distribution was controlled at the nanoscale with ultrafast laser–induced liquid nanophase separation. The PNCs exhibit notable stability against ultraviolet irradiation, or",https://openalex.org/W4205613112
OpenAlex,Paper,https://openalex.org/W3196394368,Sustainable Hydrothermal and Solvothermal Synthesis of Advanced Carbon Materials in Multidimensional Applications: A Review,2021,"The adoption of green technology is very important to protect the environment and thus there is a need for improving the existing methods for the fabrication of carbon materials. As such, this work proposes to discuss, interrogate, and propose viable hydrothermal, solvothermal, and other advanced carbon materials synthesis methods. The synthesis approaches for advanced carbon materials to be interrogated will include the synthesis of carbon dots, carbon nanotubes, nitrogen/titania-doped carbons,",https://openalex.org/W3196394368
OpenAlex,Paper,https://openalex.org/W4321368483,Guest Solvent-Directed Isomeric Metal–Organic Frameworks for the Kinetically Favorable Separation of Carbon Dioxide and Methane,2023,"The adsorptive separation of CH4 from CO2 is a promising process for upgrading natural gas. However, thermodynamically selective adsorbents exhibit a strong affinity for CO2 and thus require a high energy compensation for regeneration. Instead, kinetic separation is preferred for a pressure swing adsorption process, although precise control of the aperture size to achieve a tremendous discrepancy in diffusion rates remains challenging. Here, we report a guest solvent-directed strategy for fine-t",https://openalex.org/W4321368483
OpenAlex,Paper,https://openalex.org/W3100564653,An All‐Organic D‐A System for Visible‐Light‐Driven Overall Water Splitting,2020,"Abstract Direct water splitting over photocatalysts is a prospective strategy to convert solar energy into hydrogen energy. Nevertheless, because of the undesirable electron accumulation at the surface, the overall water‐splitting efficiency is seriously restricted by the poor charge separation/transfer ability. Here, an all‐organic donor–acceptor (D‐A) system through crafting carbon rings units‐conjugated tubular graphitic carbon nitride (C‐TCN) is proposed. Through a range of characterizations",https://openalex.org/W3100564653
OpenAlex,Paper,https://openalex.org/W3047104329,Pandemics and Violence Against Women and Children,2020,"Times of economic uncertainty, civil unrest and disaster are linked to a myriad of risk factors for increased violence against women and children (VAW/C). Pandemics are no exception. In fact, the regional or global nature and associated fear and uncertainty associated with pandemics provide an enabling environment that may exacerbate or spark diverse forms of violence. Understanding mechanisms underlying these dynamics are important for crafting policy and program responses to mitigate adverse e",https://openalex.org/W3047104329
OpenAlex,Paper,https://openalex.org/W3025128337,Nanoengineering Construction of Cu<sub>2</sub>O Nanowire Arrays Encapsulated with g-C<sub>3</sub>N<sub>4</sub> as 3D Spatial Reticulation All-Solid-State Direct Z-Scheme Photocatalysts for Photocatalytic Reduction of Carbon Dioxide,2020,"Artificial photosynthesis is a promising strategy to convert carbon dioxide into value-added fuels and chemicals with efficient sunlight utilization. Nevertheless, there are many shortcomings, such as high photogenerated electron–hole recombination rate and poor light stability, that hinder the further development of artificial photosynthesis. Thus, inspired by the natural photosynthesis of green plants, a 3D spatial reticulation all-solid-state artificial direct Z-scheme photocatalyst is manufa",https://openalex.org/W3025128337
