Source,Type,ID,Title,Date,Abstract,Link
OpenAlex,Paper,https://openalex.org/W3165100702,Review of the Decomposition of Ammonia to Generate Hydrogen,2021,"Because of the problems associated with the generation and storage of hydrogen in portable applications, the use of ammonia has been proposed for on-site production of hydrogen through ammonia decomposition. First, an analysis of the existing systems for ammonia decomposition and the challenges for this technology are presented. Then, the state of the art of the catalysts used to date for ammonia decomposition is described considering the catalysts composed of noble and non-noble metals and thei",https://openalex.org/W3165100702
OpenAlex,Paper,https://openalex.org/W3184582432,Ru-Based Catalysts for Ammonia Decomposition: A Mini-Review,2021,"Ammonia with a hydrogen content of 17.6 wt % is viewed as a promising hydrogen carrier because the infrastructures for its production, storage, and transportation have been well established. The challenge is that currently the straight production of H2 from NH3 only works at high temperatures. To date, various metal-based catalysts have been developed for NH3 decomposition, among which the Ru-based ones are the most superior due to the suitable Ru–N binding energy. In the past decade, efforts ha",https://openalex.org/W3184582432
OpenAlex,Paper,https://openalex.org/W4319332956,Dispersed surface Ru ensembles on MgO(111) for catalytic ammonia decomposition,2023,"Abstract Ammonia is regarded as an energy vector for hydrogen storage, transport and utilization, which links to usage of renewable energies. However, efficient catalysts for ammonia decomposition and their underlying mechanism yet remain obscure. Here we report that atomically-dispersed Ru atoms on MgO support on its polar (111) facets {denoted as MgO(111)} show the highest rate of ammonia decomposition, as far as we are aware, than all catalysts reported in literature due to the strong metal-s",https://openalex.org/W4319332956
OpenAlex,Paper,https://openalex.org/W4383761424,Ammonia as a Carbon-Free Energy Carrier: NH<sub>3</sub> Cracking to H<sub>2</sub>,2023,"In the energy transition from fossil fuels to renewables,hydrogenis a realistic alternative to achieving the decarbonization target.However, its chemical and physical properties make its storage andtransport expensive. To ensure the cost-effective H-2 usageas an energy vector, other chemicals are getting attention as H-2 carriers. Among them, ammonia is the most promising candidate.The value chain of NH3 as a H-2 carrier, consideringthe long-distance ship transport, includes NH3 synthesisand sto",https://openalex.org/W4383761424
OpenAlex,Paper,https://openalex.org/W3037054187,High pressure ammonia decomposition on Ru–K/CaO catalysts,2020,"Potassium-promoted ruthenium supported on CaO is a very efficient catalyst for ammonia decomposition, surpassing the performance of other Ru-supported solids.",https://openalex.org/W3037054187
OpenAlex,Paper,https://openalex.org/W3034435575,"Ammonia as Effective Hydrogen Storage: A Review on Production, Storage and Utilization",2020,"Ammonia is considered to be a potential medium for hydrogen storage, facilitating CO2-free energy systems in the future. Its high volumetric hydrogen density, low storage pressure and stability for long-term storage are among the beneficial characteristics of ammonia for hydrogen storage. Furthermore, ammonia is also considered safe due to its high auto ignition temperature, low condensation pressure and lower gas density than air. Ammonia can be produced from many different types of primary ene",https://openalex.org/W3034435575
OpenAlex,Paper,https://openalex.org/W4378374058,"Review on Ru-Based and Ni-Based Catalysts for Ammonia Decomposition: Research Status, Reaction Mechanism, and Perspectives",2023,"Hydrogen (H2) is a zero-carbon and high-energy-density fuel promising to replace fossil fuels for power generation and clean energy. However, hydrogen still faces enormous challenges in terms of production, transportation, and storage. Ammonia (NH3) is a promising H2 (17.7 wt %) carrier that easily overcomes the difficulties associated with H2 storage and transport. However, for the NH3 decomposition hydrogen production reaction, the biggest challenge at present is to achieve complete conversion",https://openalex.org/W4378374058
OpenAlex,Paper,https://openalex.org/W3189568254,Spatial Confinement of Electron-Rich Ni Nanoparticles for Efficient Ammonia Decomposition to Hydrogen Production,2021,"In this study, a CeO2 and BN hybrid-supported Ni catalyst (Ni/CeO2–BN) was developed for efficient NH3-to-H2 conversion. By adding BN to Ni/CeO2 as an additional support material, there is increased spatial distribution of Ni nanoparticles, lessening the common problem of Ni aggregation on oxide supports. More importantly, the introduction of BN enriches oxygen vacancies and raises Ce3+ concentration, leading to enhanced electron transfer from the support to Ni. The electron-rich Ni species prom",https://openalex.org/W3189568254
OpenAlex,Paper,https://openalex.org/W3195135300,Ammonia Decomposition over CaNH-Supported Ni Catalysts via an NH<sup>2–</sup>-Vacancy-Mediated Mars–van Krevelen Mechanism,2021,"Nickel has been studied as an alternative catalyst to ruthenium for ammonia decomposition. However, high reaction temperatures are generally required to achieve good ammonia conversion because the weak interactions between nitrogen and the Ni surface reduce the frequency of the dehydrogenation reaction of ammonia. Here, we report Ni-supported CaNH as a highly efficient catalyst for ammonia decomposition through an NH2– vacancy-mediated Mars–van Krevelen mechanism. Ni/CaNH exhibited much greater ",https://openalex.org/W3195135300
OpenAlex,Paper,https://openalex.org/W4292295352,Plasma-catalytic ammonia decomposition using a packed-bed dielectric barrier discharge reactor,2022,"Plasma-catalytic ammonia decomposition as a method for producing hydrogen was studied in a packed-bed dielectric barrier discharge (DBD) reactor at ambient pressure and a fixed plasma power. The influence of packing the plasma zone with various dielectric materials, typically used as catalyst supports, was examined. At conditions (21 W, 75 Nml/min NH3) where an NH3 conversion of 5% was achieved with plasma alone, an improved decomposition was found when introducing dielectric materials with diel",https://openalex.org/W4292295352
OpenAlex,Paper,https://openalex.org/W4292064024,Hydrogen generation <i>via</i> ammonia decomposition on highly efficient and stable Ru-free catalysts: approaching complete conversion at 450 °C,2022,"Ammonia, as a promising hydrogen carrier, can be decomposed on a Ru-free catalyst at economically feasible temperatures for on-site carbon-free hydrogen generation.",https://openalex.org/W4292064024
